"Date","Clicks","Impressions","Avg. CTR"
"4/11/2026 12:00:00 AM","0","3","0"
"4/12/2026 12:00:00 AM","0","10","0"
"4/13/2026 12:00:00 AM","0","9","0"
"4/14/2026 12:00:00 AM","0","12","0"
"4/15/2026 12:00:00 AM","0","14","0"
"4/16/2026 12:00:00 AM","3","15","20"
"4/17/2026 12:00:00 AM","0","3","0"
"4/18/2026 12:00:00 AM","0","0","0"
"4/19/2026 12:00:00 AM","1","5","20"
"4/20/2026 12:00:00 AM","0","17","0"
"4/21/2026 12:00:00 AM","1","9","11.11"
"4/22/2026 12:00:00 AM","0","6","0"
"4/23/2026 12:00:00 AM","0","11","0"
"4/24/2026 12:00:00 AM","0","2","0"
"4/25/2026 12:00:00 AM","0","3","0"
"4/26/2026 12:00:00 AM","0","9","0"
"4/27/2026 12:00:00 AM","0","7","0"
"4/28/2026 12:00:00 AM","0","1","0"
"4/29/2026 12:00:00 AM","0","7","0"
"4/30/2026 12:00:00 AM","0","10","0"
"5/1/2026 12:00:00 AM","0","3","0"
"5/2/2026 12:00:00 AM","0","2","0"
"5/3/2026 12:00:00 AM","0","1","0"
"5/4/2026 12:00:00 AM","0","3","0"
"5/5/2026 12:00:00 AM","0","0","0"
"5/6/2026 12:00:00 AM","1","12","8.33"
"5/7/2026 12:00:00 AM","0","4","0"
"5/8/2026 12:00:00 AM","0","2","0"
"5/9/2026 12:00:00 AM","0","0","0"
"5/10/2026 12:00:00 AM","0","7","0"
"5/11/2026 12:00:00 AM","2","14","14.29"
"5/12/2026 12:00:00 AM","0","11","0"
"5/13/2026 12:00:00 AM","0","10","0"
"5/14/2026 12:00:00 AM","0","3","0"
"5/15/2026 12:00:00 AM","0","3","0"
"5/16/2026 12:00:00 AM","1","4","25"
"5/17/2026 12:00:00 AM","1","23","4.35"
"5/18/2026 12:00:00 AM","0","16","0"
"5/19/2026 12:00:00 AM","2","17","11.76"
"5/20/2026 12:00:00 AM","0","17","0"
"5/21/2026 12:00:00 AM","1","29","3.45"
"5/22/2026 12:00:00 AM","0","14","0"
"5/23/2026 12:00:00 AM","0","7","0"
"5/24/2026 12:00:00 AM","3","25","12"
"5/25/2026 12:00:00 AM","3","36","8.33"
"5/26/2026 12:00:00 AM","3","30","10"
"5/27/2026 12:00:00 AM","0","48","0"
"5/28/2026 12:00:00 AM","4","47","8.51"
"5/29/2026 12:00:00 AM","1","17","5.88"
"5/30/2026 12:00:00 AM","0","7","0"
"5/31/2026 12:00:00 AM","0","26","0"
"6/1/2026 12:00:00 AM","0","24","0"
"6/2/2026 12:00:00 AM","1","34","2.94"
"6/3/2026 12:00:00 AM","1","34","2.94"
"6/4/2026 12:00:00 AM","2","23","8.7"
"6/5/2026 12:00:00 AM","1","11","9.09"
"6/6/2026 12:00:00 AM","0","13","0"
"6/7/2026 12:00:00 AM","0","28","0"
"6/8/2026 12:00:00 AM","4","24","16.67"
"6/9/2026 12:00:00 AM","0","22","0"
"6/10/2026 12:00:00 AM","3","48","6.25"
"6/11/2026 12:00:00 AM","1","31","3.23"
"6/12/2026 12:00:00 AM","0","12","0"
"6/13/2026 12:00:00 AM","0","9","0"
"6/14/2026 12:00:00 AM","0","46","0"
"6/15/2026 12:00:00 AM","2","46","4.35"
"6/16/2026 12:00:00 AM","0","29","0"
"6/17/2026 12:00:00 AM","1","42","2.38"
"6/18/2026 12:00:00 AM","1","41","2.44"
"6/19/2026 12:00:00 AM","0","14","0"
"6/20/2026 12:00:00 AM","0","7","0"
"6/21/2026 12:00:00 AM","1","45","2.22"
"6/22/2026 12:00:00 AM","3","40","7.5"
"6/23/2026 12:00:00 AM","0","31","0"
"6/24/2026 12:00:00 AM","1","28","3.57"
"6/25/2026 12:00:00 AM","1","40","2.5"
"6/26/2026 12:00:00 AM","1","17","5.88"
"6/27/2026 12:00:00 AM","1","20","5"
"6/28/2026 12:00:00 AM","4","43","9.3"
"6/29/2026 12:00:00 AM","1","55","1.82"
"6/30/2026 12:00:00 AM","1","44","2.27"
"7/1/2026 12:00:00 AM","2","52","3.85"
"7/2/2026 12:00:00 AM","1","44","2.27"
"7/3/2026 12:00:00 AM","2","24","8.33"
"7/4/2026 12:00:00 AM","0","18","0"
"7/5/2026 12:00:00 AM","2","53","3.77"
"7/6/2026 12:00:00 AM","1","66","1.52"
"7/7/2026 12:00:00 AM","0","66","0"
"7/8/2026 12:00:00 AM","5","92","5.43"
