"Date","Clicks","Impressions","Avg. CTR"
"6/11/2026 12:00:00 AM","1","31","3.23"
"6/12/2026 12:00:00 AM","0","12","0"
"6/13/2026 12:00:00 AM","0","9","0"
"6/14/2026 12:00:00 AM","0","46","0"
"6/15/2026 12:00:00 AM","2","46","4.35"
"6/16/2026 12:00:00 AM","0","29","0"
"6/17/2026 12:00:00 AM","1","42","2.38"
"6/18/2026 12:00:00 AM","1","41","2.44"
"6/19/2026 12:00:00 AM","0","14","0"
"6/20/2026 12:00:00 AM","0","7","0"
"6/21/2026 12:00:00 AM","1","45","2.22"
"6/22/2026 12:00:00 AM","3","40","7.5"
"6/23/2026 12:00:00 AM","0","31","0"
"6/24/2026 12:00:00 AM","1","28","3.57"
"6/25/2026 12:00:00 AM","1","40","2.5"
"6/26/2026 12:00:00 AM","1","17","5.88"
"6/27/2026 12:00:00 AM","1","20","5"
"6/28/2026 12:00:00 AM","4","43","9.3"
"6/29/2026 12:00:00 AM","1","55","1.82"
"6/30/2026 12:00:00 AM","1","44","2.27"
"7/1/2026 12:00:00 AM","2","52","3.85"
"7/2/2026 12:00:00 AM","1","44","2.27"
"7/3/2026 12:00:00 AM","2","24","8.33"
"7/4/2026 12:00:00 AM","0","18","0"
"7/5/2026 12:00:00 AM","2","53","3.77"
"7/6/2026 12:00:00 AM","1","66","1.52"
"7/7/2026 12:00:00 AM","0","66","0"
"7/8/2026 12:00:00 AM","5","92","5.43"
